Column1,Column2
sacrosanct,"adj. 极其神圣的；不可侵犯的 (especially of a principle, place, or routine) regarded as too important or valuable to be"
snob,n. 对地位⾼于⾃⼰者极⼒攀附、对地位低于⾃⼰者冷落蔑视的⼈，势利眼 a person with an exaggerated respect
somnolent,adj. 催眠的，想睡的
ponderous,"adj. 枯燥乏味的，过于严肃的 dull, laborious, or excessively solemn: He writes in a very ponderous fashion. 他写的"
beset,v.t. 困扰，使苦恼 (of a problem or difficulty) trouble or threaten persistently: problems besetting the country 使国家
evasive,adj. 逃避的；托辞的；推托的
heedless,adj. 不注意的，掉以轻⼼的 showing a reckless lack of care or attention: be heedless of danger 不注意危险 |
quandary,n. 窘境，⽆所适从 a state of perplexity or doubt: be in a quandary about what to do 不知怎么办才好 | put/thrust
impetuous,adj. 急躁的，鲁莽的；冲动的 acting or done quickly and without thought or care: be impetuous in one’s habits ⽣性
salutary,adj. 有益的，有利的 (especially with reference to something unwelcome or unpleasant) producing good effects;
meticulous,adj. 一丝不苟的；小心翼翼的；拘泥小节的
intrepid,adj. 勇敢的；⽆畏的 very brave; not afraid of danger or difficulties: an intrepid fighter ⽆畏的战⼠ | an intrepid
umbrage,n. ⽣⽓，不愉快 offense or annoyance: feel umbrage at a social snub 因社交上受到冷落⽽感到不⾼兴 | He gave
crass,"adj. 粗俗的；粗俗的；愚钝的 lacking sensitivity, refinement, or intelligence: crass commercialism 粗俗的铜臭 |"
austere,"adj. 严厉的，严肃的 severe or strict in manner, attitude, or appearance: an austere expression 严肃的表情"
conundrum,n. 谜；难题 a confusing and difficult problem or question: pose a major conundrum for commentators 向评论员们
rankle,v.t. 激怒，使恼⽕
fusty,adj. 守旧的；古板的；过时的 old-fashioned in attitude or style: a fusty idea 守旧的思想
fudge,n. 含糊其辞，搪塞 an instance of faking or ambiguity: His response to these charges has been a series of denials
contemplate,v.t. 思考，考虑 think about: contemplate one’s future 考虑⾃⼰的前途 | contemplate what to do 仔细考虑该做什么
malodorous,adj. 难闻的，恶臭的 having an unpleasant smell: malodorous cheeses 臭乳酪
paltry,adj. 极少的，微不⾜道的 (of an amount) small or meager: a paltry wage 菲薄的⼯资
egregious,adj. 惊人的；过分的；恶名昭彰的
importunate,"adj. 再三要求的；纠缠不休的；胡搅蛮缠的 persistent, especially to the point of annoyance or intrusion: an"
spurn,v.t. 蔑视，鄙视，对……不屑⼀顾 reject with disdain or contempt: She spurned their offer. 她对他们的提议嗤之以
taciturn,adj. 沉默寡⾔的，不爱说话的 (of a person) reserved or uncommunicative in speech; saying little: a brooding and
austerity,n. 紧缩；朴素；苦行；严厉
quixotic,adj. 不切实际的；空想的 exceedingly idealistic; unrealistic and impractical: a quixotic vision ⼀个不切实际的想法
